item_code,serial_number,oem,model,start_date,end_date,customer_id
MOT-BT-LI4278-XXXXXX,20142010564121,Zebra,LI4278,16-Sep-20,16-Oct-20,3
MOT-SCDS3678SR3U42A0,19171523070428-19170523071072,Zebra,DS3678,06-Sep-19,06-Sep-20,3
ZBR-PRGC4202005G0000,53J192801620,Zebra,GC420,30-Sep-19,30-Sep-22,3
ZBR-PRGC4202005G0000,53J193300481,Zebra,GC420,02-Nov-19,02-Nov-22,3
ZBR-PRGC4202005G0000,53J194202588,Zebra,GC420,06-Jan-20,06-Jan-23,3
ZBR-PRGT800X-T2B0SX0,11J190400387,Zebra,GT800,01-Aug-19,01-Aug-22,3
ZBR-PRGT800X-T2B0SX0,11J190400194,Zebra,GT800,06-Sep-19,06-Sep-22,3
ZBR-PRGT800X-T2B0SX0,11J192600654,Zebra,GT800,16-Oct-19,16-Oct-22,3
ZBR-PRZD230X-X2F0SXX,D5J220200544,Zebra,ZD230,30-Mar-22,30-Mar-23,3
ZBR-PRZD42042T0GE00E,D0J215101315,Zebra,ZD420,08-Feb-22,08-Feb-23,3
ZBR-PRZD4A04230GE00E,D6J220810256,Zebra,ZD420,13-Apr-22,13-Apr-23,3
ZBR-PRZD62042T0GF00E,D1J215300980,Zebra,ZD620,17-Feb-22,17-Feb-23,3
ZBR-PRZT410X-B2Z0S30,18J184005438,Zebra,ZT410,16-Feb-19,16-Feb-22,3
ZBR-PRZT41142T0G0000,99J213902823,Zebra,ZT411,26-Nov-21,26-Nov-22,3
ZBR-PRZT41142T0G0000,99J214103953,Zebra,ZT411,28-Jan-22,28-Jan-23,3
ZBR-PRZT510X-T2Z0S21,34J184700163,Zebra,ZT510,16-Jul-19,16-Jul-22,3
ZBR-PRZT510X-T2Z0S21,34J184700151,Zebra,ZT510,16-Jul-19,16-Jul-22,3
ZBR-PRZT510X-T2Z5S91,34J192200070,Zebra,ZT510,24-Dec-19,24-Dec-22,3
ZBR-PRZT510X-T2Z5S91,34J192200077,Zebra,ZT510,24-Dec-19,24-Dec-22,3
