item_code,serial_number,oem,model,start_date,end_date,customer_id
LSA-ARS354SBNNF01XXX,FW421C0000057,Cipherlab,RS35,31-Dec-21,31-Dec-22,1
LSA-ARS354SBNNF01XXX,FW421C0000058,Cipherlab,RS35,31-Dec-21,31-Dec-22,1
LSA-ARS354SBNNF01XXX,FW421C0000059,Cipherlab,RS35,31-Dec-21,31-Dec-22,1
LSA-ARS51PSTNNN01XXX,FM62150001336,Cipherlab,RS51,26-Jul-21,26-Jul-22,1
LSA-ARS51PSTNNN01XXX,FM62160000093,Cipherlab,RS51,06-Aug-21,06-Aug-22,1
LSA-ARS51PSTNNN01XXX,FM62160000001,Cipherlab,RS51,07-Aug-21,07-Aug-22,1
LSA-ARS51PSTNNN01XXX,FM62160000002,Cipherlab,RS51,07-Aug-21,07-Aug-22,1
LSA-ARS51PSTNNN01XXX,FM62160000003,Cipherlab,RS51,07-Aug-21,07-Aug-22,1
LSA-ARS51PSTNNN01XXX,FM62160000988,Cipherlab,RS51,27-Aug-21,27-Aug-22,1
LSA-ARS51PSTNNN01XXX,FM62160000990,Cipherlab,RS51,27-Aug-21,27-Aug-22,1
LSA-AS3573RF1C007XXX,FW12160000070,Cipherlab,RS35,31-Dec-21,31-Dec-22,1
LSA-AS3573RF1C007XXX,FW12160000088,Cipherlab,RS35,31-Dec-21,31-Dec-22,1
LSA-AS3573RF1C007XXX,FW12170005009,Cipherlab,RS35,18-Jan-22,18-Jan-23,1
LSA-AS3573RF1C007XXX,FW121C0010951,Cipherlab,RS35,25-Jan-22,25-Jan-23,1
LSA-AS51E2BN5GC08XXX,FD12170000277,Cipherlab,RS51,06-Aug-21,06-Aug-22,1
LSA-AS51E2BN5GC08XXX,FD12170001536,Cipherlab,RS51,27-Aug-21,27-Aug-22,1
LSA-RS504SBNNF01XXXX,FD92160100148,Cipherlab,RS50,26-Jul-21,26-Jul-22,1
LSA-RS504SBNNF01XXXX,FD92160100116,Cipherlab,RS50,06-Aug-21,06-Aug-22,1
LSA-RS504SBNNF01XXXX,FD92170100070,Cipherlab,RS50,27-Aug-21,27-Aug-22,1
