item_code,serial_number,oem,model,start_date,end_date,customer_id
AGX-PRCP2140-T2O0S20,20968037,Argox,P2140,20-Oct-18,20-Oct-19,2
MOT-BT-LI4278-XXXXXX,19203000500347,Zebra,LI4278,26-Sep-19,26-Oct-19,2
MOT-HBMC32N0-1SLTUSB,18346523020970,Zebra,MC3200,11-Apr-19,11-Apr-22,2
MOT-HBMC32N0-1SLTUSB,18346523021065,Zebra,MC3200,11-Apr-19,11-Apr-22,2
MOT-HTMC32N0-GL3HCLE,19070523021149,Zebra,MC3200,11-Apr-19,11-Apr-22,2
MOT-HTMC32N0-GL3HCLE,19070523021150,Zebra,MC3200,11-Apr-19,11-Apr-22,2
MOT-HTMC330MGI3HA2IN,S19248523024487,Zebra,MC3300,15-Nov-19,15-Nov-22,2
MOT-HTTC26BK11A222IA,22074523023946,Zebra,TC26,31-Mar-22,31-Mar-23,2
MOT-HTTC26BK11A222IA,22075523020808,Zebra,TC26,31-Mar-22,31-Mar-23,2
MOT-SC-DS9208-IUBXXX,19147010500169,Zebra,DS9200,30-Jul-19,30-Jul-22,2
MOT-SC-DS9208-IUBXXX,19147010500175,Zebra,DS9200,30-Jul-19,30-Jul-22,2
MOT-SC-LI4278-IUBXBT,1929000531250,Zebra,LI4278,27-May-20,27-May-23,2
MOT-SC-LS1203-IUBXXX,YHNF92,Zebra,LS1203,06-Jul-18,06-Jul-19,2
ZBR-PRGT820X-T2Z0S30,11J164500213,Zebra,GT800,12-Jan-18,12-Jan-21,2
ZBR-PRGT820X-T2Z0S30,11J164801401,Zebra,GT800,12-Jan-18,12-Jan-21,2
ZBR-PRZQ12-A0E01GB00,XXZSJ211900855,Zebra,ZQ120,22-Feb-22,22-Feb-23,2
ZBR-PRZQ12-A0E01GB00,XXZSJ221500550,Zebra,ZQ120,24-May-22,24-May-23,2
ZBR-PRZQ52-AUE000A00,XXRBJ184000388,Zebra,ZQ520,17-Nov-18,17-Nov-21,2
ZBR-PRZQ52-AUE000A00,XXRBJ190700604,Zebra,ZQ520,13-Jun-19,13-Jun-22,2
